pid,name
1837,3510 Castleleigh Rd
1838,11342 Cherry Hill Rd Unit 104
1839,11360 Cherry Hill Rd Unit 102
1840,4611 Naples Ave
1841,12017 Benjamin St
1842,10401 46th Ave
1843,11360 Cherry Hill Rd
1844,4511 Romlon St
1845,4110 Howard Rd
1846,Chestnut
1847,Stevens Walk Apartments
1848,4935 Prince Georges Ave
1849,Old Gun Powder Rd @ Powder Mill Road
1850,4710 Saint Marys St
1851,Tecumseh Gardens
1852,Solaire Bethesda
1853,7001 Arlington at Bethesda
1854,The Metropolitan
1855,Flats 8300
1856,Gallery Bethesda
1857,Bainbridge Bethesda
1858,Rosedale Park Apartments
1859,Palisades of Bethesda
1860,Triangle Towers
1861,Element 28
1862,The Residences at Capital Crescent Trail
1863,Edgemont at Bethesda Metro
1864,7770 Norfolk
1865,The Montgomery Apartments
1866,Flats at Bethesda Avenue
1867,The Glens on Battery Lane
1868,Aldon of Chevy Chase
1869,8200
1870,Wisconsin Place
1871,The Middlebrooke
1872,Topaz House
1873,The Whitney
1874,Westwood Tower
1875,Sumner Highlands Apartments
1876,Bethesda Place
1877,Bradley View
1878,Pooks Hill Tower & Court
1879,Battery Lane Apartments
1880,The Strathmore
1881,10631 Weymouth St Unit 203
1882,4242 East West Highway
1883,6204 Rockhurst Rd
1884,4233 East West Highway
1885,5301 Westbard Cir Unit 443
1886,7500 Woodmont Ave Unit 312
1887,10309 Montrose Ave Unit 201
1888,7500 Woodmont Ave Unit 912
1889,6820 Wisconsin Ave Unit 8008
1890,4836 Bradley Blvd Unit 216
1891,6820 Wisconsin Ave
1892,Upstairs at Bethesda Row
1893,Bethesda Hill
1894,The Fields of Bethesda
1895,4936 Sentinel Dr Unit 5-406
1896,7500 Woodmont Ave Unit S1103
1897,4970 Battery Ln
1898,16 Dudley Ct Unit 7
1899,6210 Greentree Rd
1900,4936 Sentinel Dr
1901,4700 Monaco Cir
1902,9409 Corsica Dr
1903,4540 Windsor Ln
1904,5828 Lenox Rd
1905,9625 Singleton Dr
1906,9200 Bardon Rd
1907,6404 Stratford Rd
1908,4616 Maple Ave
1909,4803 Sangamore Rd Unit 1
1910,9005 Grant St
1911,4613 Cheltenham Dr
1912,8209 River Quarry Pl
1913,8204 River Quarry Pl
1914,7533 Spring Lake Dr
1915,5212 Augusta St
1916,5301 Westbard Cir Unit 443
1917,5301 Westbard Cir Unit 343
1918,5225 Pooks Hill Rd Unit 1714 N
1919,5327 Allandale Rd
1920,6820 Wisconsin Ave Unit 6003
1921,6206 Winston Dr
1922,6732 Kenwood Forest Ln
1923,7111 Woodmont Ave Unit 811
1924,7710 Woodmont Ave Unit 1005
1925,5225 Pooks Hill Rd Unit 1612N
1926,5225 Pooks Hill Rd Unit 710N
1927,10637 Weymouth St
1928,7503 Shadywood Rd
1929,10320 Westlake Dr Unit E202
1930,6619 Fairfax Rd
1931,7171 Woodmont Ave Unit 806
1932,7401 Westlake Ter Unit 505
1933,4854 Western Ave
1934,6308 Herkos Ct
1935,8319 Quarry Manor Ter
1936,8815 Earl Ct Unit 1
1937,10618 Montrose Ave Unit 104
1938,4970 Battery Ln Unit 107
1939,10415 Montrose Ave Unit 301
1940,10507 Weymouth St
1941,5203 Acacia Ave
1942,4921 Chevy Chase Blvd
1943,5105 Westbard Ave Unit 6
1944,10204 Arizona Cir
1945,5618 Wood Way
1946,5600 McLean Dr
1947,9211 E Parkhill Dr
1948,6820 Wisconsin Ave Unit 3003
1949,5101 River Rd Unit 816
1950,5101 River Rd Unit 1704
1951,5225 Pooks Hill Rd Unit 827N
1952,7555 Spring Lake Dr
1953,4808 Moorland Ln Unit 701
1954,9210 Cedarcrest Dr
1955,7654 Westlake Ter
1956,8015 Park Ln
1957,4534 Avondale St Unit 1
1958,7500 Woodmont Ave Unit SL13
1959,4801 Fairmont Ave Unit 912
1960,8408 Old Seven Locks Rd
1961,6601 Lone Oak Dr
1962,5936 Maplewood Park Pl
1963,7500 Woodmont Ave Unit S403
1964,9702 Bellevue Dr
1965,5225 Pooks Hill Rd Unit 706N
1966,4811 Drummond Ave
1967,2 Town Gate Ct
1968,7334 Heatherhill Ct
1969,5101 River Rd Unit 711
1970,5416 Waneta Rd
1971,6421 Tisdale Ter
1972,8053 Rising Ridge Rd
1973,4907 Scarsdale Rd
1974,5812 Highland Dr
1975,8209 Stone Trail Dr
1976,8312 Woodhaven Blvd
1977,10250 Arizona Cir Unit 1
1978,8820 Saunders Ln
1979,7401 Westlake Ter Unit 415
1980,10305 Montrose Ave
1981,10111 Galsworthy Pl
1982,6210 Dahlonega Rd
1983,8609 Lancaster Dr
1984,4826 Langdrum Ln
1985,4733 Bradley Blvd Unit 5
1986,6724 Offutt Ln Unit 203A
1987,5908 Walhonding Rd
1988,6520 Lone Oak Ct
1989,10690 Weymouth St Unit 103
1990,5701 Ridgefield Rd
1991,10643 Montrose Ave
1992,26 Holly Leaf Ct
1993,5019 River Rd
1994,4509 Traymore St
1995,4553 N Chelsea Ln
1996,6920 Blaisdell Rd
1997,7111 Woodmont Ave Unit 901
1998,7626 Royal Dominion Dr
1999,10013 Montauk Ave
2000,7713 Arrowood Ct
2001,10300 Westlake Dr Unit S410
2002,6705 Hillandale Rd
2003,7520 Royal Dominion Dr
2004,4413 Rosedale Ave
2005,5101 River Rd Unit 1504
2006,8315 N Brook Ln
2007,6506 Wilmett Rd
2008,8624 Melwood Rd
2009,7505 Arlington Rd
2010,9011 Mohawk Ln
2011,10512 Weymouth St
2012,10601 Montrose Ave
2013,10631 Montrose Ave
2014,10218 Arizona Cir
2015,6307 Wynkoop Blvd
2016,6126 Massachusetts Ave
2017,9101 Burdette Rd
2018,6508 Kenhowe Dr
2019,5300 Cromwell Dr
2020,8700 Fallen Oak Dr
2021,5802 Ryland Dr
2022,9105 Chanute Dr
2023,10642 Montrose Ave Unit M-4
2024,8315 N Brook Ln Unit 2-1101
2025,10601 Montrose Ave Unit M-104
2026,5225 Pooks Hill Rd Unit 501N
2027,10631 Montrose Ave Unit M-202
2028,5014 Sangamore Rd
