pid,url
121,https://www.apartments.com/brent-place-alexandria-va/tel3js9/
122,https://www.apartments.com/glebe-house-apartments-alexandria-va/kvryrnb/
123,https://www.apartments.com/oaks-of-woodlawn-alexandria-va/jcp7xk6/
124,https://www.apartments.com/the-colecroft-community-alexandria-va/e7kmpdm/
125,https://www.apartments.com/parc-view-apartments-alexandria-va/b1vhpd9/
126,https://www.apartments.com/2505-fleming-st-alexandria-va/88cyzy0/
127,https://www.apartments.com/520-john-carlyle-st-alexandria-va-unit-000/94zqy95/
128,https://www.apartments.com/2214-creek-dr-alexandria-va/nx58rwq/
129,https://www.apartments.com/2411-fairhaven-ave-alexandria-va/pk0wqtt/
130,https://www.apartments.com/2451-midtown-ave-alexandria-va-unit-219/86vf773/
131,https://www.apartments.com/521-n-washington-st-alexandria-va-unit-201/m24pejj/
132,https://www.apartments.com/2607-jefferson-dr-alexandria-va/znfy1qx/
133,https://www.apartments.com/715-s-washington-st-alexandria-va-unit-a24/6jyqn4s/
134,https://www.apartments.com/2500-n-van-dorn-st-alexandria-va-unit-1408/bcb1369/
135,https://www.apartments.com/8620-beekman-pl-alexandria-va-unit-d/r9v5n92/
136,https://www.apartments.com/106-roberts-ln-alexandria-va-unit-301/ccc6l7f/
137,https://www.apartments.com/3340-s-28th-st-alexandria-va-unit-203/1m3p8e4/
138,https://www.apartments.com/619-n-henry-st-alexandria-va/6msy55t/
139,https://www.apartments.com/1628-w-abingdon-dr-alexandria-va-unit-202/xfnlcvm/
140,https://www.apartments.com/301-n-beauregard-st-alexandria-va-unit-115/cwzpqnf/
141,https://www.apartments.com/208-skyhill-rd-alexandria-va-unit-8/ll30fke/
142,https://www.apartments.com/2701-mt-vernon-ave-alexandria-va-unit-1/ef5d2lq/
143,https://www.apartments.com/2703-mt-vernon-ave-alexandria-va-unit-2/s49s2y7/
144,https://www.apartments.com/122-roberts-ln-alexandria-va-unit-401/15g5pv5/
145,https://www.apartments.com/2820-fort-dr-alexandria-va/kfmhnp9/
146,https://www.apartments.com/6420-patience-ct-alexandria-va/7ttnj7x/
147,https://www.apartments.com/900-n-washington-st-alexandria-va-unit-104e/nzcrx9m/
148,https://www.apartments.com/323-s-columbus-st-alexandria-va/8pwhhs1/
149,https://www.apartments.com/323-wilkes-st-alexandria-va/me9emqh/
150,https://www.apartments.com/321-wilkes-st-alexandria-va-unit-a/wcm4j9h/
151,https://www.apartments.com/432-s-royal-st-alexandria-va/3e8lsmg/
152,https://www.apartments.com/2200-potomac-ave-alexandria-va/gekgzly/
153,https://www.apartments.com/5612-bloomfield-dr-alexandria-va-unit-t-3/0sj0x73/
154,https://www.apartments.com/7737-rachael-whitney-ln-alexandria-va/s5jer15/
155,https://www.apartments.com/501-slaters-ln-alexandria-va-unit-922/l47yf3e/
156,https://www.apartments.com/1600-prince-st-alexandria-va/2v1ppe9/
157,https://www.apartments.com/915-n-patrick-st-alexandria-va-unit-302/cdpmked/
158,https://www.apartments.com/2059-huntington-ave-alexandria-va-unit-1415/zlcgqxy/
159,https://www.apartments.com/the-mill-alexandria-va/k5cvzc8/
160,https://www.apartments.com/braddock-lee-apartments-alexandria-va/h8v6rm3/
161,https://www.apartments.com/whitestone-at-landmark-alexandria-va/7zqfvty/
162,https://www.apartments.com/abbotts-run-apartments-alexandria-va/kg55jmb/
163,https://www.apartments.com/the-fields-of-alexandria-alexandria-va/q249hyx/
164,https://www.apartments.com/bennington-crossings-alexandria-va/w29e5pj/
165,https://www.apartments.com/notch-8-alexandria-va/gf6k2zy/
166,https://www.apartments.com/haven-mt-vernon-alexandria-va/r7k8qf2/
167,https://www.apartments.com/108-roberts-ln-alexandria-va-unit-101/m19xqrj/
168,https://www.apartments.com/6617-e-wakefield-dr-alexandria-va-unit-b1/44zekdk/
169,https://www.apartments.com/500-n-pitt-st-alexandria-va/7jbx1px/
170,https://www.apartments.com/3451-martha-custis-dr-alexandria-va-unit-3451/r1brsr3/
171,https://www.apartments.com/5250-valley-forge-dr-alexandria-va-unit-214/pzlpgds/
172,https://www.apartments.com/702-s-fayette-st-alexandria-va/x2dhd6p/
173,https://www.apartments.com/3638-gunston-rd-alexandria-va/07r7qh3/
174,https://www.apartments.com/309-holland-ln-alexandria-va-unit-125/z3lr19z/
175,https://www.apartments.com/4907-30th-st-s-arlington-va-unit-b2/mv2glwl/
176,https://www.apartments.com/5902-mount-eagle-dr-alexandria-va-unit-216/9nf2xt6/
177,https://www.apartments.com/7960-bolling-dr-alexandria-va/jx25g24/
178,https://www.apartments.com/31-canterbury-sq-alexandria-va-unit-301/t55b52c/
179,https://www.apartments.com/191-somervelle-st-alexandria-va-unit-407/2yfcjk8/
180,https://www.apartments.com/2431-huntington-park-dr-alexandria-va/b1bgceb/
181,https://www.apartments.com/6029-curtier-dr-alexandria-va-unit-a/0z17qz1/
182,https://www.apartments.com/6111-wigmore-ln-alexandria-va-unit-k/kjk9qsb/
183,https://www.apartments.com/2410-sherwood-hall-ln-alexandria-va/nzg8ejn/
184,https://www.apartments.com/6631-wakefield-dr-alexandria-va-unit-812/51j9y4n/
185,https://www.apartments.com/6621-wakefield-dr-alexandria-va-unit-908/qpj5mxx/
186,https://www.apartments.com/525-n-armistead-st-alexandria-va-unit-202/0664gl3/
187,https://www.apartments.com/5108-donovan-dr-alexandria-va-unit-101/qtjhtex/
188,https://www.apartments.com/1225-martha-custis-dr-alexandria-va-unit-1118/bc74w89/
189,https://www.apartments.com/5608-bismach-dr-alexandria-va-unit-204/m1s4z8k/
190,https://www.apartments.com/307-yoakum-pky-alexandria-va-unit-224/wgnp5mj/
191,https://www.apartments.com/11-canterbury-sq-alexandria-va-unit-402/qs0nzhw/
192,https://www.apartments.com/900-mount-vernon-ave-alexandria-va/j87thb4/
193,https://www.apartments.com/6052-estates-dr-alexandria-va/tqnhy2b/
194,https://www.apartments.com/914-n-alfred-st-alexandria-va/gf5zl0w/
195,https://www.apartments.com/2009-mason-hill-dr-alexandria-va/pc7k6tr/
196,https://www.apartments.com/6072-essex-house-sq-alexandria-va/kcwnjn8/
197,https://www.apartments.com/444-e-glebe-rd-alexandria-va/fzq0rct/
198,https://www.apartments.com/8-s-van-dorn-st-alexandria-va-unit-505/1c7l1c6/
199,https://www.apartments.com/2410-windbreak-dr-alexandria-va/rg2qh71/
200,https://www.apartments.com/4556-shetland-green-rd-alexandria-va/0mn1gm1/
201,https://www.apartments.com/6527-kemper-lakes-ct-alexandria-va/xgs64lp/
202,https://www.apartments.com/3706-n-rosser-st-alexandria-va-unit-204/4jt08rj/
203,https://www.apartments.com/4107-century-ct-alexandria-va/2k28h4b/
204,https://www.apartments.com/1229-michigan-ct-alexandria-va/0q3vfm0/
205,https://www.apartments.com/5384-echols-ave-alexandria-va/e3lrtlm/
206,https://www.apartments.com/6301-edsall-rd-alexandria-va-unit-209/mv91lpl/
207,https://www.apartments.com/1509-belle-view-blvd-alexandria-va-unit-c2/mvcd57l/
208,https://www.apartments.com/6149-edsall-rd-alexandria-va-unit-n/ejyb9fm/
209,https://www.apartments.com/6834-ericka-ave-alexandria-va/dcsh20l/
210,https://www.apartments.com/7927-fitzroy-st-alexandria-va/170kw56/
211,https://www.apartments.com/6230-edsall-rd-alexandria-va-unit-403/fbfq6rv/
212,https://www.apartments.com/7215-marine-dr-alexandria-va/9qms694/
213,https://www.apartments.com/5507-trin-st-alexandria-va/9nbwpk6/
214,https://www.apartments.com/6552-parish-glebe-ln-alexandria-va/xsbyq1p/
215,https://www.apartments.com/8381-brockham-dr-alexandria-va-unit-d/r9207k2/
216,https://www.apartments.com/6301-stevenson-ave-alexandria-va-unit-501/7d5ccxy/
217,https://www.apartments.com/7113-harrison-ln-alexandria-va/xjvftwm/
218,https://www.apartments.com/287-s-pickett-st-alexandria-va-unit-101/1nqfrc7/
219,https://www.apartments.com/539-colecroft-ct-alexandria-va/7jw617w/
220,https://www.apartments.com/2813-mosby-st-alexandria-va/fp6z06s/
221,https://www.apartments.com/560-colecroft-ct-alexandria-va/znx153z/
222,https://www.apartments.com/5606-bismach-dr-alexandria-va-unit-202/172mrc7/
223,https://www.apartments.com/1543-oronoco-st-alexandria-va/kn042d8/
224,https://www.apartments.com/6854-signature-cir-alexandria-va/qv29rwx/
225,https://www.apartments.com/3523-martha-custis-dr-alexandria-va-unit-3523/hplvpt3/
226,https://www.apartments.com/143-jasper-pl-alexandria-va/zz0yvtw/
227,https://www.apartments.com/3102-martha-custis-dr-alexandria-va/28fm0sc/
228,https://www.apartments.com/6270-rose-hill-ct-alexandria-va-unit-4/ntrcdfq/
229,https://www.apartments.com/312-s-payne-st-alexandria-va/nw0cbyn/
230,https://www.apartments.com/7-e-glebe-rd-alexandria-va-unit-b/b7bpbmb/
231,https://www.apartments.com/714-wilkes-st-alexandria-va/gye939w/
232,https://www.apartments.com/5054-grimm-dr-alexandria-va/rf4jnj0/
233,https://www.apartments.com/6296-taliaferro-way-alexandria-va/1tft125/
