pid,station,distance,time
1057,Court House,0.8,3.0
1057,Clarendon,1.5,6.0
1057,Arlington Cemetery,2.0,5.0
1057,Foggy Bottom-GWU,2.1,7.0
1058,Ballston-MU,0.2,1.0
1058,Virginia Square-GMU,0.4,1.0
1058,Clarendon,1.0,3.0
1058,Court House,1.6,5.0
1059,Virginia Square-GMU,0.3,1.0
1059,Ballston-MU,0.3,1.0
1059,Clarendon,0.9,3.0
1059,Court House,1.5,5.0
106,Van Dorn Street,4.2,10.0
1060,None,,
1061,None,,
1062,None,,
1063,None,,
1064,None,,
1065,None,,
1066,Ballston-MU,0.3,1.0
1066,Virginia Square-GMU,0.6,2.0
1066,Clarendon,1.1,4.0
1066,Court House,1.7,6.0
1067,Virginia Square-GMU,3.1,10.0
1067,Ballston-MU,3.1,10.0
1068,None,,
1069,None,,
107,None,,
1070,Court House,0.6,2.0
1070,Rosslyn,0.8,1.0
1070,Clarendon,1.4,5.0
1070,Virginia Square-GMU,1.8,7.0
1070,Arlington Cemetery,2.1,4.0
1071,Ballston-MU,2.8,9.0
1072,None,,
1073,None,,
1074,None,,
1075,None,,
1076,None,,
1077,None,,
1078,None,,
1079,None,,
108,None,,
1080,None,,
1081,None,,
1082,None,,
1083,None,,
1084,None,,
1085,None,,
1086,None,,
1087,None,,
1088,None,,
1089,None,,
109,None,,
1090,None,,
1091,None,,
1092,None,,
1093,None,,
1094,None,,
1095,Ballston-MU,3.0,9.0
1096,None,,
1097,None,,
1098,None,,
1099,None,,
11,None,,
110,Van Dorn Street,0.6,12.0
1100,None,,
1101,None,,
1102,None,,
1103,None,,
1104,None,,
1105,None,,
1106,None,,
1107,None,,
1108,None,,
1109,Rosslyn,0.7,4.0
1109,Court House,0.9,3.0
1109,Arlington Cemetery,1.3,2.0
1109,Clarendon,1.9,5.0
1109,Foggy Bottom-GWU,2.2,5.0
111,Van Dorn Street,0.2,4.0
1110,None,,
1111,None,,
1112,None,,
1113,None,,
1114,None,,
1115,None,,
1116,None,,
1117,None,,
1118,Virginia Square-GMU,0.2,1.0
1118,Ballston-MU,0.5,2.0
1118,Clarendon,0.6,2.0
1118,Court House,1.2,4.0
1118,Rosslyn,2.7,6.0
1119,None,,
112,None,,
1120,None,,
1121,None,,
1122,None,,
1123,None,,
1124,None,,
1125,None,,
1126,None,,
1127,None,,
1128,None,,
1129,None,,
113,None,,
1130,None,,
1131,Rosslyn,0.1,1.0
1131,Court House,1.2,4.0
1131,Arlington Cemetery,1.5,3.0
1131,Foggy Bottom-GWU,1.7,7.0
1131,Clarendon,1.9,5.0
1132,None,,
1133,None,,
1134,None,,
1135,None,,
1136,None,,
1137,None,,
1138,Clarendon,0.4,1.0
1138,Virginia Square-GMU,0.6,3.0
1138,Ballston-MU,1.0,3.0
1138,Court House,1.0,3.0
1138,Rosslyn,2.4,6.0
1139,None,,
114,Van Dorn Street,0.6,11.0
1140,None,,
1141,Court House,0.5,2.0
1141,Rosslyn,0.7,1.0
1141,Clarendon,1.3,5.0
1141,Virginia Square-GMU,1.7,7.0
1141,Arlington Cemetery,2.0,4.0
1142,None,,
1143,None,,
1144,None,,
1145,None,,
1146,None,,
1147,None,,
1148,Crystal City,1.3,4.0
1148,Ronald Reagan Washington National Airport,1.6,5.0
1148,Pentagon City,2.1,7.0
1148,Braddock Road,2.5,8.0
1148,Pentagon,3.4,8.0
1149,None,,
115,Braddock Road,1.8,7.0
115,Crystal City,2.0,7.0
115,Ronald Reagan Washington National Airport,2.3,7.0
115,King Street,2.6,10.0
1150,None,,
1151,None,,
1152,None,,
1153,None,,
1154,None,,
1155,None,,
1156,None,,
1157,None,,
1158,None,,
1159,None,,
116,None,,
1160,None,,
1161,None,,
1162,None,,
1163,None,,
1164,None,,
1165,None,,
1166,None,,
1167,None,,
1168,None,,
1169,None,,
117,None,,
1170,None,,
1171,Ballston-MU,1.4,4.0
1171,Court House,1.5,4.0
1171,Clarendon,1.7,4.0
1171,Virginia Square-GMU,1.8,5.0
1171,Rosslyn,2.1,5.0
1172,None,,
1173,None,,
1174,None,,
1175,None,,
1176,None,,
1177,Virginia Square-GMU,1.5,5.0
1177,Ballston-MU,1.6,5.0
1177,Court House,2.3,6.0
1177,Clarendon,2.4,6.0
1178,None,,
1179,None,,
118,Crystal City,2.1,6.0
118,Ronald Reagan Washington National Airport,2.5,8.0
118,Pentagon City,3.1,6.0
118,Pentagon,4.9,8.0
1180,None,,
1181,None,,
1182,None,,
1183,None,,
1184,None,,
1185,None,,
1186,None,,
1187,None,,
1188,None,,
1189,None,,
119,Braddock Road,1.1,5.0
119,King Street,1.2,5.0
119,Eisenhower Avenue,2.6,9.0
1190,None,,
1191,None,,
1192,None,,
1193,None,,
1194,None,,
1195,None,,
1196,None,,
1197,Ballston-MU,2.3,8.0
1197,Virginia Square-GMU,2.4,8.0
1197,Clarendon,2.7,9.0
1198,East Falls Church,0.5,1.0
1198,West Falls Church,2.4,5.0
1199,Virginia Square-GMU,3.1,10.0
1199,Ballston-MU,3.1,10.0
12,None,,
120,None,,
1200,None,,
1201,None,,
1202,None,,
1203,None,,
1204,None,,
1205,None,,
1206,None,,
1207,None,,
1208,None,,
1209,None,,
121,Van Dorn Street,0.3,6.0
1210,None,,
1211,Pentagon City,0.3,1.0
1211,Crystal City,0.5,1.0
1211,Pentagon,1.0,6.0
1211,Ronald Reagan Washington National Airport,2.1,7.0
1211,Arlington Cemetery,2.5,5.0
1212,None,,
1213,None,,
1214,Court House,0.5,2.0
1214,Rosslyn,0.7,1.0
1214,Clarendon,1.3,5.0
1214,Virginia Square-GMU,1.7,7.0
1214,Arlington Cemetery,2.0,4.0
1215,None,,
1216,None,,
1217,None,,
1218,None,,
1219,Ballston-MU,2.2,7.0
1219,Virginia Square-GMU,2.2,7.0
1219,Court House,2.6,8.0
1219,Clarendon,2.8,8.0
122,Crystal City,1.9,7.0
122,Ronald Reagan Washington National Airport,2.1,7.0
122,Braddock Road,2.1,6.0
122,Pentagon City,2.9,7.0
1220,None,,
1221,None,,
1222,None,,
1223,Clarendon,0.7,2.0
1223,Court House,0.8,3.0
1223,Virginia Square-GMU,1.1,4.0
1223,Ballston-MU,1.5,5.0
1223,Rosslyn,1.8,5.0
1224,None,,
1225,None,,
1226,None,,
1227,None,,
1228,None,,
1229,None,,
123,None,,
1230,None,,
1231,None,,
1232,Court House,0.8,3.0
1232,Rosslyn,1.2,4.0
1232,Arlington Cemetery,1.5,3.0
1232,Clarendon,1.8,5.0
1232,Virginia Square-GMU,2.2,7.0
1233,None,,
1234,Rosslyn,0.9,3.0
1234,Court House,1.0,4.0
1234,Clarendon,1.8,6.0
1234,Foggy Bottom-GWU,2.2,9.0
1234,Virginia Square-GMU,2.4,7.0
1235,None,,
1236,None,,
1237,None,,
1238,Ballston-MU,1.4,5.0
1238,Virginia Square-GMU,1.9,6.0
1238,Court House,2.3,7.0
1238,Clarendon,2.4,7.0
1239,Rosslyn,0.5,2.0
1239,Court House,1.0,4.0
1239,Arlington Cemetery,1.9,6.0
1239,Clarendon,2.3,7.0
1239,Foggy Bottom-GWU,2.4,8.0
124,Braddock Road,0.4,2.0
124,King Street,0.7,3.0
124,Eisenhower Avenue,1.7,7.0
124,Huntington,2.8,10.0
1240,None,,
1241,None,,
1242,Virginia Square-GMU,0.3,1.0
1242,Ballston-MU,0.7,2.0
1242,Clarendon,0.7,3.0
1242,Court House,1.4,5.0
1242,Rosslyn,2.9,7.0
1243,Ballston-MU,0.2,1.0
1243,Virginia Square-GMU,0.7,1.0
1243,Clarendon,1.2,4.0
1243,Court House,1.9,6.0
