pid,station,distance,time
2849,None,,
285,Van Dorn Street,2.7,9.0
2850,None,,
2851,None,,
2852,None,,
2853,None,,
2854,None,,
2855,None,,
2856,None,,
2857,None,,
2858,None,,
2859,None,,
286,None,,
2860,None,,
2861,None,,
2862,None,,
2863,None,,
2864,None,,
2865,None,,
2866,None,,
2867,Dunn Loring-Merrifield,1.0,18.0
2868,Vienna/Fairfax-GMU,3.0,5.0
2869,None,,
287,None,,
2870,None,,
2871,None,,
2872,Dunn Loring-Merrifield,5.4,10.0
2873,None,,
2874,None,,
2875,None,,
2876,Vienna/Fairfax-GMU,0.4,8.0
2877,None,,
2878,Dunn Loring-Merrifield,0.8,15.0
2879,Vienna/Fairfax-GMU,4.7,9.0
288,None,,
2880,None,,
2881,None,,
2882,Vienna/Fairfax-GMU,0.5,9.0
2883,None,,
2884,None,,
2885,None,,
2886,None,,
2887,None,,
2888,None,,
2889,None,,
289,None,,
2890,None,,
2891,None,,
2892,None,,
2893,None,,
2894,None,,
2895,None,,
2896,None,,
2897,None,,
2898,None,,
2899,None,,
29,Van Dorn Street,0.6,11.0
290,None,,
2900,Dunn Loring-Merrifield,0.4,7.0
2901,None,,
2902,None,,
2903,None,,
2904,None,,
2905,None,,
2906,None,,
2907,None,,
2908,None,,
2909,None,,
291,None,,
2910,None,,
2911,None,,
2912,None,,
2913,None,,
2914,None,,
2915,None,,
2916,None,,
2917,None,,
2918,None,,
2919,None,,
292,None,,
2920,None,,
2921,None,,
2922,None,,
2923,None,,
2924,None,,
2925,None,,
2926,None,,
2927,None,,
2928,None,,
2929,None,,
293,None,,
2930,None,,
2931,None,,
2932,None,,
2933,None,,
2934,None,,
2935,None,,
2936,None,,
2937,None,,
2938,None,,
2939,None,,
294,None,,
2940,None,,
2941,None,,
2942,None,,
2943,None,,
2944,None,,
2945,None,,
2946,None,,
2947,None,,
2948,None,,
2949,None,,
295,None,,
2950,None,,
2951,Vienna/Fairfax-GMU,0.2,4.0
2952,None,,
2953,None,,
2954,None,,
2955,None,,
2956,None,,
2957,None,,
2958,None,,
2959,None,,
296,None,,
2960,None,,
2961,None,,
2962,None,,
2963,None,,
2964,None,,
2965,None,,
2966,None,,
2967,None,,
2968,None,,
2969,None,,
297,None,,
2970,None,,
2971,None,,
2972,None,,
2973,None,,
2974,None,,
2975,None,,
2976,None,,
2977,None,,
2978,None,,
2979,None,,
298,None,,
2980,None,,
2981,None,,
2982,Vienna/Fairfax-GMU,4.8,8.0
2983,None,,
2984,None,,
2985,None,,
2986,None,,
2987,None,,
2988,None,,
2989,None,,
299,None,,
2990,None,,
2991,None,,
2992,None,,
2993,None,,
2994,None,,
2995,None,,
2996,None,,
2997,None,,
2998,Vienna/Fairfax-GMU,4.9,9.0
2999,None,,
3,None,,
30,Huntington,1.5,5.0
30,Eisenhower Avenue,2.2,6.0
30,King Street,2.9,9.0
300,None,,
3000,None,,
3001,None,,
3002,None,,
3003,Vienna/Fairfax-GMU,5.2,10.0
3004,None,,
3005,None,,
3006,None,,
3007,None,,
3008,None,,
3009,None,,
301,King Street,0.5,2.0
301,Braddock Road,0.8,3.0
301,Eisenhower Avenue,2.1,7.0
301,Huntington,2.6,9.0
3010,None,,
3011,None,,
3012,None,,
3013,None,,
3014,None,,
3015,None,,
3016,None,,
3017,None,,
3018,Vienna/Fairfax-GMU,4.4,8.0
3019,None,,
302,None,,
3020,None,,
3021,None,,
3022,None,,
3023,None,,
3024,None,,
3025,None,,
3026,None,,
3027,None,,
3028,None,,
3029,Dunn Loring-Merrifield,0.4,7.0
303,None,,
3030,Vienna/Fairfax-GMU,1.0,19.0
3031,None,,
3032,Vienna/Fairfax-GMU,4.2,7.0
3033,None,,
3034,None,,
3035,None,,
3036,None,,
3037,None,,
3038,None,,
3039,Vienna/Fairfax-GMU,4.5,9.0
304,None,,
3040,None,,
3041,None,,
3042,None,,
3043,None,,
3044,None,,
3045,Vienna/Fairfax-GMU,5.0,10.0
3046,None,,
3047,West Falls Church,1.6,5.0
3047,McLean,2.0,7.0
3047,Tysons Corner,2.5,8.0
3047,Greensboro,2.6,9.0
3047,Dunn Loring-Merrifield,8.3,13.0
3048,None,,
3049,West Falls Church,1.7,6.0
3049,McLean,1.9,5.0
3049,Tysons Corner,2.4,6.0
3049,Greensboro,2.4,7.0
3049,Dunn Loring-Merrifield,8.2,11.0
305,None,,
3050,None,,
3051,East Falls Church,0.6,1.0
3051,West Falls Church,2.2,6.0
3052,None,,
3053,West Falls Church,1.4,4.0
3053,McLean,2.7,8.0
3053,Tysons Corner,3.2,8.0
3053,Dunn Loring-Merrifield,8.9,14.0
3054,East Falls Church,1.6,6.0
3055,East Falls Church,0.8,14.0
3056,Dunn Loring-Merrifield,0.8,15.0
3057,East Falls Church,0.8,14.0
3058,East Falls Church,1.5,5.0
3058,West Falls Church,2.3,7.0
3059,None,,
306,None,,
3060,East Falls Church,1.3,4.0
3060,West Falls Church,2.3,7.0
3061,None,,
3062,None,,
3063,East Falls Church,3.0,9.0
3064,Dunn Loring-Merrifield,8.7,12.0
3065,West Falls Church,1.3,4.0
3065,East Falls Church,1.7,4.0
3066,East Falls Church,1.7,5.0
3067,McLean,2.0,7.0
3067,West Falls Church,2.2,7.0
3067,Tysons Corner,2.5,8.0
3067,Greensboro,2.5,9.0
3067,Dunn Loring-Merrifield,8.3,13.0
3068,None,,
3069,East Falls Church,1.8,6.0
307,None,,
3070,West Falls Church,2.3,8.0
3070,Dunn Loring-Merrifield,6.1,12.0
3071,None,,
3072,West Falls Church,1.8,6.0
3072,McLean,2.6,9.0
3072,Tysons Corner,3.1,9.0
3072,Greensboro,3.1,11.0
3072,Dunn Loring-Merrifield,8.9,15.0
3073,None,,
3074,None,,
3075,None,,
3076,None,,
3077,East Falls Church,1.3,3.0
3077,West Falls Church,1.8,5.0
3078,East Falls Church,2.5,8.0
3079,None,,
308,None,,
3080,None,,
3081,None,,
3082,None,,
3083,McLean,1.8,3.0
3083,Tysons Corner,2.3,4.0
3083,Greensboro,2.6,6.0
3083,West Falls Church,2.8,6.0
3083,Dunn Loring-Merrifield,8.3,10.0
3084,None,,
3085,East Falls Church,1.5,3.0
3085,West Falls Church,1.8,4.0
3086,None,,
3087,None,,
3088,None,,
3089,None,,
309,None,,
3090,None,,
3091,None,,
3092,None,,
3093,None,,
3094,West Falls Church,1.1,3.0
3094,East Falls Church,2.4,5.0
3095,None,,
3096,None,,
3097,None,,
3098,None,,
3099,None,,
31,None,,
310,None,,
3100,None,,
3101,None,,
3102,None,,
3103,None,,
3104,None,,
3105,West Falls Church,1.4,4.0
3105,McLean,2.7,7.0
3105,Tysons Corner,3.2,8.0
3105,Dunn Loring-Merrifield,9.0,13.0
3106,None,,
3107,None,,
3108,None,,
3109,None,,
311,None,,
3110,None,,
3111,None,,
3112,Dunn Loring-Merrifield,5.4,10.0
3113,None,,
3114,None,,
3115,Dunn Loring-Merrifield,8.2,11.0
3116,None,,
3117,None,,
3118,None,,
3119,None,,
312,None,,
3120,None,,
3121,None,,
3122,None,,
3123,None,,
3124,None,,
3125,None,,
3126,None,,
3127,None,,
3128,None,,
3129,None,,
313,None,,
3130,None,,
3131,None,,
3132,None,,
3133,None,,
3134,None,,
3135,None,,
3136,None,,
3137,None,,
3138,None,,
3139,None,,
314,None,,
3140,None,,
3141,None,,
3142,None,,
3143,None,,
3144,None,,
3145,None,,
3146,None,,
3147,None,,
3148,None,,
3149,None,,
315,None,,
3150,None,,
3151,Dunn Loring-Merrifield,5.3,10.0
3152,None,,
3153,East Falls Church,2.1,7.0
3154,None,,
3155,None,,
3156,None,,
3157,None,,
3158,None,,
3159,None,,
316,None,,
3160,Dunn Loring-Merrifield,5.4,10.0
3161,None,,
3162,None,,
3163,None,,
3164,None,,
3165,None,,
3166,East Falls Church,1.6,4.0
3166,West Falls Church,1.6,5.0
3167,West Falls Church,1.7,6.0
3167,McLean,2.5,8.0
3167,Tysons Corner,3.0,9.0
3167,Dunn Loring-Merrifield,8.8,14.0
3168,None,,
3169,East Falls Church,1.4,5.0
3169,West Falls Church,1.8,6.0
317,None,,
3170,West Falls Church,2.6,8.0
3170,Dunn Loring-Merrifield,5.9,11.0
3171,East Falls Church,1.8,6.0
3172,Dunn Loring-Merrifield,5.6,11.0
3173,None,,
3174,Dunn Loring-Merrifield,5.6,11.0
3175,None,,
3176,None,,
3177,None,,
3178,East Falls Church,1.7,6.0
3178,West Falls Church,2.0,7.0
3179,West Falls Church,2.6,9.0
3179,Dunn Loring-Merrifield,5.8,11.0
318,None,,
3180,Dunn Loring-Merrifield,1.0,18.0
3181,West Falls Church,2.6,9.0
3181,Dunn Loring-Merrifield,5.9,11.0
3182,None,,
3183,Dunn Loring-Merrifield,5.4,10.0
3184,West Falls Church,1.0,4.0
3184,East Falls Church,1.9,5.0
3185,Dunn Loring-Merrifield,8.5,12.0
3186,Dunn Loring-Merrifield,5.4,10.0
3187,East Falls Church,1.7,4.0
3187,West Falls Church,1.7,5.0
3188,East Falls Church,1.7,6.0
3189,East Falls Church,2.0,6.0
3189,West Falls Church,2.1,8.0
319,Braddock Road,0.3,1.0
319,King Street,1.2,5.0
319,Eisenhower Avenue,3.2,8.0
319,Huntington,3.8,10.0
3190,West Falls Church,1.5,4.0
3190,East Falls Church,1.7,4.0
3191,East Falls Church,1.0,19.0
3192,None,,
3193,West Falls Church,1.5,4.0
3193,East Falls Church,1.7,4.0
3194,East Falls Church,1.4,4.0
3194,West Falls Church,2.2,7.0
3195,East Falls Church,1.4,5.0
3195,West Falls Church,2.2,7.0
3196,East Falls Church,1.4,5.0
3196,West Falls Church,2.2,7.0
3197,East Falls Church,1.4,5.0
3197,West Falls Church,2.2,8.0
3198,East Falls Church,1.4,4.0
3198,West Falls Church,2.2,7.0
3199,East Falls Church,1.4,5.0
3199,West Falls Church,2.2,7.0
32,Van Dorn Street,0.4,8.0
320,None,,
3200,East Falls Church,1.5,5.0
3200,West Falls Church,2.2,8.0
3201,East Falls Church,1.4,5.0
3201,West Falls Church,2.2,7.0
3202,East Falls Church,1.5,5.0
3202,West Falls Church,2.2,8.0
3203,East Falls Church,1.4,5.0
3203,West Falls Church,2.2,8.0
3204,None,,
3205,None,,
3206,None,,
3207,None,,
3208,East Falls Church,2.0,6.0
3208,West Falls Church,2.2,8.0
3209,East Falls Church,1.4,4.0
3209,West Falls Church,2.3,8.0
321,None,,
3210,East Falls Church,0.8,2.0
3210,West Falls Church,2.1,5.0
3211,East Falls Church,1.4,4.0
3211,West Falls Church,2.3,8.0
3212,East Falls Church,1.3,5.0
3212,West Falls Church,2.1,7.0
3213,East Falls Church,1.6,6.0
3214,East Falls Church,1.4,5.0
3214,West Falls Church,2.1,7.0
3215,East Falls Church,1.4,5.0
3215,West Falls Church,2.2,7.0
3216,East Falls Church,1.4,5.0
3216,West Falls Church,2.2,7.0
3217,East Falls Church,1.4,5.0
3217,West Falls Church,2.2,7.0
3218,East Falls Church,1.4,5.0
3218,West Falls Church,2.1,7.0
3219,East Falls Church,1.4,5.0
3219,West Falls Church,2.2,7.0
322,None,,
3220,East Falls Church,1.3,5.0
3220,West Falls Church,2.1,7.0
3221,East Falls Church,1.3,4.0
3221,West Falls Church,2.1,7.0
3222,East Falls Church,2.5,8.0
3223,East Falls Church,1.9,6.0
3223,West Falls Church,2.1,7.0
3224,None,,
3225,None,,
3226,None,,
3227,Suitland,2.9,9.0
3227,Branch Avenue,7.2,13.0
3228,Branch Avenue,3.7,7.0
3229,Suitland,1.2,4.0
3229,Branch Avenue,4.2,11.0
323,None,,
3230,None,,
3231,Suitland,2.1,8.0
3231,Capitol Heights,2.2,7.0
3232,Addison Road-Seat Pleasant,1.9,4.0
3233,None,,
3234,None,,
3235,Branch Avenue,5.4,8.0
3236,None,,
3237,None,,
3238,None,,
3239,None,,
324,None,,
3240,None,,
3241,None,,
3242,None,,
3243,None,,
3244,None,,
3245,None,,
3246,None,,
3247,None,,
3248,None,,
3249,None,,
325,None,,
3250,None,,
3251,None,,
3252,None,,
3253,None,,
3254,None,,
3255,None,,
3256,None,,
3257,None,,
3258,None,,
3259,None,,
326,None,,
3260,None,,
3261,None,,
3262,None,,
3263,None,,
3264,None,,
3265,None,,
3266,None,,
3267,None,,
3268,None,,
3269,None,,
327,None,,
3270,None,,
3271,None,,
3272,None,,
3273,None,,
3274,None,,
3275,None,,
3276,None,,
3277,None,,
3278,None,,
3279,None,,
328,None,,
3280,None,,
3281,Shady Grove,1.9,6.0
3282,None,,
3283,None,,
3284,None,,
3285,None,,
3286,None,,
3287,Shady Grove,4.0,10.0
3288,None,,
3289,None,,
329,None,,
3290,None,,
3291,None,,
3292,None,,
3293,None,,
3294,None,,
3295,Shady Grove,3.2,8.0
3296,Shady Grove,3.0,10.0
3297,None,,
3298,None,,
3299,None,,
33,None,,
330,None,,
3300,Shady Grove,2.1,6.0
3301,None,,
3302,None,,
3303,None,,
3304,None,,
3305,None,,
3306,None,,
3307,None,,
3308,None,,
3309,None,,
331,None,,
3310,None,,
3311,None,,
3312,None,,
3313,Shady Grove,3.8,9.0
3314,Shady Grove,2.5,8.0
3315,None,,
3316,None,,
3317,None,,
3318,Shady Grove,3.7,9.0
3319,None,,
332,None,,
3320,None,,
3321,None,,
3322,None,,
3323,None,,
3324,None,,
3325,None,,
3326,None,,
3327,None,,
3328,None,,
3329,None,,
333,None,,
3330,None,,
3331,None,,
3332,None,,
3333,None,,
3334,None,,
3335,None,,
3336,None,,
3337,None,,
3338,None,,
3339,None,,
334,None,,
3340,None,,
3341,None,,
3342,None,,
3343,None,,
3344,None,,
3345,None,,
3346,None,,
3347,None,,
3348,None,,
3349,None,,
335,None,,
3350,None,,
3351,None,,
3352,None,,
3353,None,,
3354,None,,
3355,None,,
3356,None,,
3357,None,,
3358,None,,
3359,None,,
336,None,,
3360,None,,
3361,None,,
3362,None,,
3363,None,,
3364,None,,
3365,None,,
3366,None,,
3367,None,,
3368,None,,
3369,None,,
337,None,,
3370,None,,
3371,None,,
3372,None,,
3373,None,,
3374,None,,
3375,None,,
3376,None,,
3377,None,,
3378,None,,
3379,None,,
338,Van Dorn Street,0.7,12.0
3380,None,,
3381,None,,
3382,None,,
3383,None,,
3384,None,,
3385,None,,
3386,None,,
3387,None,,
3388,None,,
3389,None,,
339,Van Dorn Street,0.2,4.0
3390,None,,
3391,None,,
3392,None,,
3393,None,,
3394,None,,
3395,None,,
3396,None,,
3397,None,,
3398,None,,
3399,None,,
34,Franconia-Springfield,1.9,4.0
340,None,,
3400,None,,
3401,None,,
3402,None,,
3403,None,,
3404,None,,
3405,None,,
3406,None,,
3407,None,,
3408,None,,
3409,None,,
341,None,,
3410,None,,
3411,None,,
3412,None,,
3413,None,,
3414,None,,
3415,None,,
3416,None,,
3417,None,,
3418,None,,
3419,None,,
342,None,,
3420,None,,
3421,None,,
3422,None,,
3423,None,,
3424,Shady Grove,2.2,7.0
3425,None,,
3426,None,,
3427,None,,
3428,None,,
3429,None,,
343,None,,
3430,None,,
3431,None,,
3432,None,,
3433,Shady Grove,1.9,6.0
3434,Shady Grove,2.6,8.0
3435,None,,
3436,Shady Grove,1.1,4.0
3437,Shady Grove,2.6,8.0
3438,Shady Grove,2.0,6.0
3439,None,,
344,None,,
3440,None,,
3441,None,,
3442,None,,
3443,None,,
3444,None,,
3445,None,,
3446,None,,
3447,None,,
3448,None,,
3449,None,,
345,Van Dorn Street,0.1,2.0
3450,None,,
3451,Shady Grove,3.8,10.0
3452,None,,
3453,None,,
3454,None,,
3455,None,,
3456,None,,
3457,None,,
3458,None,,
3459,None,,
346,Braddock Road,1.5,5.0
346,King Street,1.5,6.0
346,Eisenhower Avenue,4.3,11.0
3460,None,,
3461,None,,
3462,None,,
3463,None,,
3464,None,,
3465,None,,
3466,None,,
3467,None,,
3468,None,,
3469,None,,
347,None,,
3470,None,,
3471,None,,
3472,None,,
3473,None,,
3474,None,,
3475,None,,
3476,None,,
3477,None,,
3478,None,,
3479,None,,
348,None,,
3480,None,,
3481,None,,
3482,None,,
3483,None,,
3484,None,,
3485,None,,
3486,None,,
3487,None,,
3488,None,,
3489,None,,
349,None,,
3490,None,,
3491,None,,
3492,None,,
3493,None,,
3494,None,,
3495,None,,
3496,None,,
3497,None,,
3498,None,,
3499,None,,
35,Van Dorn Street,0.7,12.0
350,None,,
3500,None,,
3501,None,,
3502,None,,
3503,None,,
3504,None,,
3505,None,,
3506,None,,
3507,None,,
3508,None,,
3509,None,,
351,None,,
3510,None,,
3511,None,,
3512,None,,
3513,None,,
3514,None,,
3515,None,,
3516,None,,
3517,None,,
3518,None,,
3519,None,,
352,None,,
3520,None,,
3521,None,,
3522,None,,
3523,None,,
3524,None,,
3525,None,,
3526,None,,
3527,None,,
3528,None,,
3529,None,,
353,None,,
3530,None,,
3531,None,,
3532,None,,
3533,None,,
3534,None,,
3535,None,,
3536,None,,
3537,None,,
3538,None,,
3539,None,,
354,None,,
3540,None,,
3541,None,,
3542,None,,
3543,None,,
3544,None,,
3545,None,,
3546,None,,
3547,None,,
3548,None,,
3549,None,,
355,None,,
3550,None,,
3551,None,,
3552,None,,
3553,None,,
3554,None,,
3555,None,,
3556,None,,
3557,None,,
3558,None,,
3559,None,,
356,Braddock Road,0.4,2.0
356,King Street,0.8,3.0
356,Eisenhower Avenue,3.0,7.0
356,Huntington,3.6,9.0
3560,None,,
3561,None,,
3562,None,,
3563,None,,
3564,None,,
3565,None,,
3566,None,,
3567,None,,
3568,Ferndale,1.6,5.0
3568,Cromwell Station/Glen Burnie,1.9,4.0
3569,None,,
357,None,,
3570,None,,
3571,None,,
3572,Cromwell Station/Glen Burnie,2.9,5.0
3573,North Linthicum,2.2,5.0
3573,Ferndale,2.3,5.0
3573,Linthicum,2.5,7.0
3573,Nursery Road,2.5,6.0
3573,Cromwell Station/Glen Burnie,2.9,7.0
3574,None,,
3575,None,,
3576,None,,
3577,Cromwell Station/Glen Burnie,1.8,5.0
3578,None,,
3579,North Linthicum,2.4,5.0
3579,Ferndale,2.4,5.0
3579,Linthicum,2.7,8.0
3579,Nursery Road,2.7,6.0
3579,Cromwell Station/Glen Burnie,3.1,7.0
358,None,,
3580,Cromwell Station/Glen Burnie,2.3,6.0
3581,None,,
3582,None,,
3583,None,,
3584,None,,
3585,Cromwell Station/Glen Burnie,3.1,5.0
3586,None,,
3587,Cromwell Station/Glen Burnie,2.6,6.0
3588,None,,
3589,None,,
359,Franconia-Springfield,2.3,5.0
3590,None,,
3591,None,,
3592,None,,
3593,None,,
3594,None,,
3595,Cromwell Station/Glen Burnie,2.8,6.0
3596,Cromwell Station/Glen Burnie,0.5,1.0
3596,Ferndale,1.4,4.0
3597,None,,
3598,None,,
3599,None,,
36,None,,
360,None,,
3600,None,,
3601,None,,
3602,None,,
3603,None,,
3604,None,,
3605,None,,
3606,None,,
3607,None,,
3608,None,,
3609,None,,
361,None,,
3610,None,,
3611,None,,
3612,None,,
3613,None,,
3614,None,,
3615,None,,
3616,None,,
3617,None,,
3618,None,,
3619,None,,
362,None,,
3620,None,,
3621,None,,
3622,None,,
3623,None,,
3624,None,,
3625,None,,
3626,None,,
3627,None,,
3628,None,,
3629,None,,
363,None,,
3630,None,,
3631,None,,
3632,None,,
3633,None,,
3634,None,,
3635,None,,
3636,None,,
3637,None,,
3638,None,,
3639,None,,
364,None,,
3640,None,,
3641,None,,
3642,None,,
3643,None,,
3644,Cromwell Station/Glen Burnie,0.8,2.0
3644,Ferndale,1.7,4.0
3645,None,,
3646,None,,
3647,North Linthicum,2.7,7.0
3647,Ferndale,2.8,7.0
3647,Linthicum,3.0,9.0
3647,Nursery Road,3.1,7.0
3648,None,,
3649,None,,
365,None,,
3650,Cromwell Station/Glen Burnie,2.5,5.0
3650,Ferndale,2.8,7.0
3651,None,,
3652,None,,
3653,Cromwell Station/Glen Burnie,2.6,6.0
3654,Cromwell Station/Glen Burnie,2.9,7.0
3655,None,,
3656,Cromwell Station/Glen Burnie,0.6,1.0
3656,Ferndale,1.5,3.0
3657,Cromwell Station/Glen Burnie,1.5,4.0
3657,Ferndale,2.4,7.0
3658,None,,
3659,New Carrollton,2.1,6.0
3659,Landover,2.2,5.0
366,None,,
3660,Largo Town Center,2.4,7.0
3660,Landover,3.2,9.0
3660,New Carrollton,4.8,9.0
3661,None,,
3662,None,,
3663,None,,
3664,None,,
3665,None,,
3666,None,,
3667,None,,
3668,None,,
3669,None,,
367,None,,
3670,None,,
3671,None,,
3672,None,,
3673,None,,
3674,None,,
3675,None,,
3676,None,,
3677,None,,
3678,None,,
3679,Greenbelt,5.4,9.0
368,None,,
3680,Greenbelt,0.6,12.0
3681,None,,
3682,Greenbelt,3.3,8.0
3682,College Park-U Of MD,3.5,11.0
3683,None,,
3684,None,,
3685,None,,
3686,None,,
3687,None,,
3688,None,,
3689,None,,
369,None,,
3690,None,,
3691,None,,
3692,None,,
3693,None,,
3694,None,,
3695,None,,
3696,None,,
3697,None,,
3698,None,,
3699,None,,
37,None,,
370,None,,
3700,None,,
3701,Greenbelt,4.2,6.0
3702,Greenbelt,0.0,1.0
3703,None,,
3704,None,,
3705,None,,
3706,Greenbelt,3.5,7.0
3706,College Park-U Of MD,3.7,10.0
3707,None,,
3708,Greenbelt,5.8,9.0
3709,Greenbelt,4.4,10.0
371,Van Dorn Street,0.6,12.0
3710,None,,
3711,Patapsco,1.9,6.0
3711,Baltimore Highlands,2.0,6.0
3711,Nursery Road,2.6,6.0
3711,Cherry Hill,2.7,7.0
3711,Westport,2.7,8.0
3712,Patapsco,2.0,6.0
3712,Baltimore Highlands,2.1,7.0
3712,Cherry Hill,2.6,8.0
3712,Westport,2.6,9.0
3713,None,,
3714,None,,
3715,Patapsco,2.1,6.0
3715,Baltimore Highlands,2.2,7.0
3715,Nursery Road,2.8,6.0
3715,Cherry Hill,2.9,8.0
3715,North Linthicum,3.9,7.0
3716,None,,
3717,None,,
3718,None,,
3719,None,,
372,None,,
3720,None,,
3721,Patapsco,2.1,6.0
3721,Baltimore Highlands,2.2,7.0
3721,Nursery Road,2.8,6.0
3721,Cherry Hill,2.9,8.0
3721,North Linthicum,3.9,7.0
3722,Baltimore Highlands,1.0,4.0
3722,Nursery Road,1.4,4.0
3722,North Linthicum,2.0,5.0
3722,Patapsco,2.1,7.0
3722,Cherry Hill,2.7,8.0
3723,Patapsco,2.5,8.0
3723,Baltimore Highlands,2.5,9.0
3723,Nursery Road,3.2,9.0
3723,Cherry Hill,3.2,10.0
3723,Westport,3.3,11.0
3724,Baltimore Highlands,0.6,2.0
3724,Nursery Road,1.2,2.0
3724,Patapsco,1.5,4.0
3724,North Linthicum,1.8,3.0
3724,Cherry Hill,2.1,5.0
3725,Patapsco,0.5,2.0
3725,Baltimore Highlands,1.3,3.0
3725,Cherry Hill,1.6,4.0
3725,Westport,1.6,5.0
3725,Nursery Road,2.0,4.0
3726,Nursery Road,2.4,6.0
3726,Patapsco,2.4,7.0
3726,Baltimore Highlands,2.5,7.0
3726,North Linthicum,3.4,5.0
3726,Cherry Hill,5.7,8.0
3727,Patapsco,2.2,6.0
3727,Baltimore Highlands,2.2,7.0
3727,Nursery Road,2.8,6.0
3727,Cherry Hill,2.9,8.0
3727,North Linthicum,3.7,6.0
3728,Patapsco,2.3,8.0
3728,Baltimore Highlands,2.4,8.0
3728,Nursery Road,3.0,8.0
3728,Cherry Hill,3.1,9.0
3728,Westport,3.1,10.0
3729,Nursery Road,2.5,6.0
3729,Patapsco,2.7,8.0
3729,Baltimore Highlands,2.8,8.0
3729,North Linthicum,3.4,5.0
373,None,,
3730,Patapsco,1.7,4.0
3730,Cherry Hill,2.2,5.0
3730,Westport,2.3,7.0
3730,Baltimore Highlands,2.4,6.0
3731,None,,
3732,None,,
3733,None,,
3734,None,,
3735,None,,
3736,None,,
3737,None,,
3738,None,,
3739,None,,
374,None,,
3740,None,,
3741,None,,
3742,None,,
3743,None,,
3744,None,,
3745,None,,
3746,None,,
3747,None,,
3748,None,,
3749,None,,
375,None,,
3750,None,,
3751,None,,
3752,None,,
3753,None,,
3754,None,,
3755,None,,
3756,None,,
3757,None,,
3758,None,,
3759,None,,
376,None,,
3760,None,,
3761,None,,
3762,None,,
3763,None,,
3764,None,,
3765,None,,
3766,None,,
3767,None,,
3768,None,,
3769,None,,
377,Van Dorn Street,0.8,15.0
3770,None,,
3771,None,,
3772,None,,
3773,None,,
3774,None,,
3775,None,,
3776,None,,
3777,None,,
3778,None,,
3779,None,,
378,None,,
3780,None,,
3781,None,,
3782,None,,
3783,None,,
3784,None,,
3785,None,,
3786,None,,
3787,None,,
3788,None,,
3789,None,,
379,None,,
3790,None,,
3791,None,,
3792,None,,
3793,None,,
3794,None,,
3795,None,,
3796,None,,
3797,None,,
3798,None,,
3799,None,,
38,Eisenhower Avenue,0.3,1.0
38,King Street,1.2,5.0
38,Huntington,1.7,5.0
38,Braddock Road,1.8,7.0
380,None,,
3800,None,,
3801,None,,
3802,None,,
3803,None,,
3804,None,,
3805,None,,
3806,None,,
3807,None,,
3808,None,,
3809,None,,
381,None,,
3810,None,,
3811,None,,
3812,None,,
3813,None,,
3814,None,,
3815,None,,
3816,None,,
3817,None,,
3818,None,,
3819,None,,
382,None,,
3820,None,,
3821,None,,
3822,None,,
3823,None,,
3824,None,,
3825,None,,
3826,None,,
3827,None,,
3828,None,,
3829,None,,
383,None,,
3830,None,,
3831,None,,
3832,None,,
3833,None,,
3834,None,,
3835,None,,
3836,None,,
3837,None,,
3838,None,,
3839,None,,
384,None,,
3840,None,,
3841,None,,
3842,None,,
3843,None,,
3844,None,,
3845,None,,
3846,None,,
3847,None,,
3848,None,,
3849,None,,
385,None,,
3850,None,,
3851,None,,
3852,None,,
3853,None,,
3854,None,,
3855,None,,
3856,None,,
3857,None,,
3858,None,,
3859,None,,
386,None,,
3860,None,,
3861,None,,
3862,None,,
3863,None,,
3864,None,,
3865,None,,
3866,None,,
3867,None,,
3868,None,,
3869,None,,
387,None,,
3870,None,,
3871,None,,
3872,None,,
3873,None,,
3874,None,,
3875,None,,
3876,None,,
3877,None,,
3878,None,,
3879,None,,
388,None,,
3880,None,,
3881,None,,
3882,None,,
3883,None,,
3884,None,,
3885,None,,
3886,None,,
3887,None,,
3888,None,,
3889,None,,
389,None,,
3890,None,,
3891,None,,
3892,None,,
3893,None,,
3894,None,,
3895,Naylor Road,1.2,4.0
3895,Southern Avenue,1.9,6.0
3895,Suitland,2.5,9.0
3895,Congress Heights,2.5,9.0
3896,Naylor Road,1.8,6.0
3896,Southern Avenue,1.9,7.0
3896,Congress Heights,2.5,10.0
3896,Suitland,2.5,10.0
3897,Naylor Road,2.3,9.0
3897,Southern Avenue,2.4,9.0
3897,Suitland,3.0,10.0
3897,Congress Heights,3.1,12.0
3898,None,,
3899,Southern Avenue,0.8,2.0
3899,Naylor Road,1.0,3.0
3899,Congress Heights,1.5,5.0
3899,Suitland,3.1,9.0
3899,Anacostia,3.5,7.0
39,Van Dorn Street,6.4,9.0
390,None,,
3900,Southern Avenue,0.5,1.0
3900,Congress Heights,1.7,5.0
3900,Naylor Road,2.1,6.0
3901,None,,
3902,None,,
3903,None,,
3904,None,,
3905,None,,
3906,Naylor Road,2.3,9.0
3906,Southern Avenue,2.4,9.0
3906,Suitland,3.0,10.0
3906,Congress Heights,3.0,12.0
3907,Naylor Road,2.2,8.0
3907,Southern Avenue,2.3,8.0
3907,Suitland,2.9,10.0
3908,Southern Avenue,3.3,8.0
3908,Suitland,3.6,12.0
3908,Naylor Road,3.7,10.0
3908,Congress Heights,3.8,11.0
3909,Naylor Road,1.4,5.0
3909,Southern Avenue,1.9,6.0
3909,Suitland,2.2,9.0
3909,Congress Heights,2.5,9.0
391,None,,
3910,None,,
3911,None,,
