pid,type
1064,Condo
1065,Condo
1066,Condo
1067,Condo
1068,Townhome
1069,Condo
1070,Condo
1071,Condo
1072,House
1073,Condo
1074,Condo
1075,Condo
1076,Condo
1077,Condo
1078,House
1079,Townhome
1080,Condo
1081,Condo
1082,Condo
1083,House
1084,House
1085,Condo
1086,Condo
1087,Condo
1088,Townhome
1089,Condo
1090,Condo
1091,House
1092,House
1093,House
1094,Townhome
1095,Condo
1096,Townhome
1097,Condo
1098,Condo
1099,Condo
1100,Condo
1101,Condo
1102,Townhome
1103,House
1104,Condo
1105,House
1106,Condo
1107,Townhome
1108,Townhome
1109,Condo
1110,House
1111,House
1112,House
1113,House
1114,House
1115,House
1116,Condo
1117,Condo
1118,Condo
1119,Condo
1120,House
1121,Condo
1122,Townhome
1123,Condo
1124,House
1125,Condo
1126,House
1127,Unknown
1128,Townhome
1129,House
1130,House
1131,Condo
1132,Townhome
1133,House
1134,Townhome
1135,Condo
1136,House
1137,Condo
1138,Unknown
1139,House
1140,House
1141,Condo
1142,House
1143,Condo
1144,House
1145,Townhome
1146,House
1147,Townhome
1148,Condo
1149,Condo
1150,House
1151,House
1152,House
1153,Condo
1154,House
1155,House
1156,Townhome
1157,House
1158,House
1159,Townhome
1160,Townhome
1161,Townhome
1162,Condo
1163,House
1164,Condo
1165,House
1166,House
1167,Townhome
1168,Condo
1169,House
1170,Condo
1171,Condo
1172,Townhome
1173,House
1174,House
1175,Condo
1176,Unknown
1177,Condo
1178,House
1179,Condo
1180,Townhome
1181,Townhome
1182,Condo
1183,Condo
1184,Condo
1185,Unknown
1186,House
1187,House
1188,House
1189,Condo
1190,Condo
1191,Condo
1192,House
1193,Townhome
1194,Townhome
1195,Townhome
1196,Condo
1197,Townhome
1198,Condo
1199,Condo
1200,Condo
1201,Condo
1202,Unknown
1203,Condo
1204,Condo
1205,Condo
1206,Condo
1207,Condo
1208,Condo
1209,Condo
1210,Condo
1211,Condo
1212,Condo
1213,Condo
1214,Condo
1215,Condo
1216,Townhome
1217,House
1218,Townhome
1219,House
1220,Condo
1221,Condo
1222,House
1223,House
1224,House
1225,House
1226,House
1227,Condo
