pid,beds,baths,minrent,maxrent,minsqft,maxsqft
21,1.0,1.0,1671.0,1671.0,800.0,800.0
21,1.0,1.0,1621.0,1621.0,800.0,800.0
21,1.0,1.0,1370.0,1615.0,800.0,800.0
21,1.0,1.0,1424.0,1424.0,800.0,800.0
21,1.0,1.0,1394.0,1394.0,800.0,800.0
21,1.0,1.0,1373.0,1373.0,800.0,800.0
21,1.0,1.0,1505.0,1505.0,800.0,800.0
21,1.0,1.0,1370.0,1370.0,800.0,800.0
21,1.0,1.0,1475.0,1475.0,800.0,800.0
21,1.0,1.0,1515.0,1515.0,800.0,800.0
21,1.0,1.0,1515.0,1515.0,800.0,800.0
21,1.0,1.0,1435.0,1435.0,800.0,800.0
21,1.0,1.0,1615.0,1615.0,800.0,800.0
21,1.0,1.0,1310.0,1310.0,800.0,800.0
21,1.0,1.0,1380.0,1380.0,800.0,800.0
21,1.0,1.0,1465.0,1465.0,800.0,800.0
21,1.0,1.0,1375.0,1375.0,800.0,800.0
21,1.0,1.0,1420.0,1420.0,800.0,800.0
21,1.0,1.0,1545.0,1545.0,800.0,800.0
21,1.0,1.0,1360.0,1360.0,800.0,800.0
21,1.0,1.0,1515.0,1515.0,800.0,800.0
21,1.0,1.0,1330.0,1330.0,800.0,800.0
21,1.0,1.0,1316.0,1316.0,800.0,800.0
21,1.0,1.0,1316.0,1316.0,800.0,800.0
21,1.0,1.0,1410.0,1410.0,800.0,800.0
21,1.0,1.0,1545.0,1545.0,800.0,800.0
21,1.0,1.0,1310.0,1310.0,800.0,800.0
21,1.0,1.0,1605.0,1605.0,800.0,800.0
21,1.0,1.0,1615.0,1615.0,800.0,800.0
21,1.0,1.0,1330.0,1330.0,800.0,800.0
21,1.0,1.0,1595.0,1595.0,800.0,800.0
21,2.0,2.0,1937.0,2261.0,1130.0,1130.0
21,2.0,2.0,1994.0,1994.0,1130.0,1130.0
21,2.0,2.0,1944.0,1944.0,1130.0,1130.0
21,2.0,2.0,1997.0,1997.0,1130.0,1130.0
21,2.0,2.0,1595.0,1824.0,1130.0,1130.0
