pid,beds,baths,minrent,maxrent,minsqft,maxsqft
940,2.0,1.0,2376.0,3356.0,1223.0,1223.0
940,2.0,1.0,,,1223.0,1223.0
940,2.0,2.0,2349.0,3329.0,1293.0,1293.0
940,2.0,2.0,2349.0,3329.0,1293.0,1293.0
940,2.0,2.0,2425.0,3540.0,1300.0,1300.0
940,2.0,2.0,2560.0,3540.0,1300.0,1300.0
940,2.0,2.0,2438.0,3418.0,1311.0,1311.0
940,2.0,2.0,2438.0,3418.0,1311.0,1311.0
940,2.0,2.0,2455.0,3611.0,1457.0,1457.0
940,2.0,2.0,2510.0,3490.0,1457.0,1457.0
940,2.0,2.0,2551.0,3531.0,1457.0,1457.0
940,2.0,2.0,2570.0,3550.0,1457.0,1457.0
940,2.0,2.0,2631.0,3611.0,1457.0,1457.0
940,2.0,2.0,2900.0,4055.0,1600.0,1600.0
940,2.0,2.0,2900.0,3880.0,1600.0,1600.0
940,2.0,2.0,2945.0,3925.0,1600.0,1600.0
940,2.0,2.0,2425.0,3405.0,1300.0,1300.0
940,2.0,2.0,2461.0,3812.0,1396.0,1396.0
940,2.0,2.0,2556.0,3551.0,1396.0,1396.0
940,2.0,2.0,2438.0,3568.0,1323.0,1323.0
940,2.0,2.0,2474.0,3469.0,1323.0,1323.0
940,2.0,2.0,2289.0,3634.0,1293.0,1293.0
940,2.0,2.0,2404.0,3399.0,1293.0,1293.0
940,2.0,2.0,2550.0,3545.0,1457.0,1457.0
940,2.0,2.0,2581.0,3576.0,1457.0,1457.0
940,2.0,2.0,2455.0,3450.0,1457.0,1457.0
940,2.0,2.0,2971.0,4016.0,1600.0,1600.0
940,2.0,2.0,2438.0,3568.0,1323.0,1323.0
940,2.0,2.0,2925.0,4055.0,1600.0,1600.0
940,2.0,2.0,2507.0,3742.0,1396.0,1396.0
940,2.0,2.0,2461.0,3696.0,1396.0,1396.0
940,2.0,2.0,2557.0,3812.0,1396.0,1396.0
940,2.0,2.0,2289.0,3634.0,1293.0,1293.0
940,2.0,2.0,,,1269.0,1269.0
940,2.0,2.0,,,1600.0,1600.0
940,2.0,2.0,,,1246.0,1246.0
940,2.0,2.0,,,1310.0,1310.0
940,2.0,2.0,,,1334.0,1334.0
940,2.0,2.0,,,1970.0,1970.0
940,3.0,2.0,3266.0,5197.0,1620.0,1620.0
940,3.0,2.0,3266.0,5076.0,1620.0,1620.0
940,3.0,2.0,3387.0,5197.0,1620.0,1620.0
940,3.0,2.0,3446.0,5296.0,1725.0,1725.0
940,3.0,2.0,3446.0,5256.0,1725.0,1725.0
940,3.0,2.0,3486.0,5296.0,1725.0,1725.0
940,3.0,2.0,3486.0,5296.0,1725.0,1725.0
940,3.0,2.5,,,2570.0,2570.0
940,4.0,2.5,,,2570.0,2570.0
941,0.0,1.0,2090.0,2955.0,485.0,485.0
941,0.0,1.0,2090.0,2955.0,485.0,485.0
941,0.0,1.0,,,419.0,419.0
941,0.0,1.0,,,414.0,414.0
941,0.0,1.0,,,485.0,485.0
941,0.0,,,,,
941,0.0,,,,,
941,1.0,1.0,2120.0,3210.0,588.0,588.0
941,1.0,1.0,2370.0,3210.0,588.0,588.0
941,1.0,1.0,2480.0,3320.0,758.0,758.0
941,1.0,1.0,2480.0,3320.0,758.0,758.0
941,1.0,1.0,2165.0,3015.0,612.0,612.0
941,1.0,1.0,2175.0,3015.0,612.0,612.0
941,1.0,1.0,2115.0,2985.0,615.0,615.0
941,1.0,1.0,2145.0,2985.0,615.0,615.0
941,1.0,1.0,2165.0,3005.0,612.0,612.0
941,1.0,1.0,2115.0,2955.0,615.0,615.0
941,1.0,1.0,2275.0,2740.0,672.0,672.0
941,1.0,1.0,2275.0,2740.0,672.0,672.0
941,1.0,1.0,2170.0,2635.0,706.0,706.0
941,1.0,1.0,2170.0,2635.0,706.0,706.0
941,1.0,1.0,1980.0,2445.0,517.0,517.0
941,1.0,1.0,1980.0,2445.0,517.0,517.0
941,1.0,1.0,2120.0,2585.0,588.0,588.0
941,1.0,1.0,,,783.0,783.0
941,1.0,1.0,,,657.0,657.0
941,1.0,1.0,,,543.0,543.0
941,1.0,1.0,,,621.0,621.0
941,1.0,1.0,,,657.0,657.0
941,1.0,1.0,,,668.0,668.0
941,1.0,1.0,,,685.0,685.0
941,1.0,1.0,,,689.0,689.0
941,1.0,1.0,,,817.0,817.0
941,1.0,1.0,,,853.0,853.0
941,1.0,1.0,,,543.0,543.0
941,1.0,1.0,,,543.0,543.0
941,1.0,1.0,,,632.0,632.0
941,1.0,1.0,,,675.0,675.0
941,1.0,1.0,,,672.0,672.0
941,1.0,1.0,,,682.0,682.0
941,1.0,1.0,,,706.0,706.0
941,1.0,1.0,,,706.0,706.0
941,1.0,1.0,,,817.0,817.0
941,1.0,1.0,,,549.0,549.0
941,1.0,1.0,,,605.0,605.0
941,1.0,1.0,,,614.0,614.0
941,1.0,1.0,,,630.0,630.0
941,1.0,1.0,,,788.0,788.0
941,1.0,1.0,,,672.0,672.0
941,1.0,1.5,2910.0,3750.0,931.0,931.0
941,1.0,1.5,2910.0,3750.0,931.0,931.0
941,1.0,2.0,3165.0,4035.0,954.0,954.0
941,1.0,2.0,3195.0,4035.0,954.0,954.0
941,1.0,2.0,3165.0,3605.0,954.0,954.0
941,1.0,2.0,,,1003.0,1003.0
941,1.0,2.0,,,923.0,923.0
941,1.0,2.0,,,923.0,923.0
941,2.0,2.0,3285.0,4395.0,1113.0,1113.0
941,2.0,2.0,3285.0,4395.0,1113.0,1113.0
941,2.0,2.0,3420.0,4550.0,1149.0,1149.0
941,2.0,2.0,3420.0,4530.0,1149.0,1149.0
941,2.0,2.0,3440.0,4550.0,1149.0,1149.0
941,2.0,2.0,3570.0,4720.0,1247.0,1247.0
941,2.0,2.0,3570.0,4680.0,1247.0,1247.0
941,2.0,2.0,3610.0,4720.0,1247.0,1247.0
941,2.0,2.0,,,879.0,879.0
941,2.0,2.0,,,1082.0,1082.0
941,2.0,2.0,,,1114.0,1114.0
941,2.0,2.0,,,823.0,823.0
941,2.0,2.0,,,945.0,945.0
941,2.0,2.0,,,999.0,999.0
941,2.0,2.0,,,1076.0,1076.0
941,2.0,2.0,,,1077.0,1077.0
941,2.0,2.0,,,1131.0,1131.0
941,2.0,2.0,,,1146.0,1146.0
941,2.0,2.0,,,1218.0,1218.0
941,2.0,2.0,,,1247.0,1247.0
941,2.0,2.0,,,1250.0,1250.0
941,2.0,2.0,,,1082.0,1082.0
941,3.0,3.0,,,1356.0,1356.0
942,1.0,1.0,1877.0,1987.0,679.0,679.0
942,1.0,1.0,1887.0,1887.0,679.0,679.0
942,1.0,1.0,1892.0,2064.0,710.0,710.0
942,1.0,1.0,1964.0,1964.0,710.0,710.0
942,1.0,1.0,1892.0,1892.0,710.0,710.0
942,1.0,1.0,1877.0,1877.0,679.0,679.0
942,1.0,1.0,1815.0,1815.0,669.0,669.0
942,1.0,1.0,1815.0,1815.0,669.0,669.0
942,1.0,1.0,1881.0,1881.0,701.0,701.0
942,1.0,1.0,1881.0,1881.0,701.0,701.0
942,1.0,1.0,,,1100.0,1100.0
942,1.0,1.0,,,701.0,701.0
942,1.0,1.0,,,701.0,701.0
942,1.0,1.0,,,712.0,712.0
942,1.0,1.0,,,712.0,712.0
942,1.0,1.0,,,669.0,669.0
942,1.0,1.0,,,702.0,702.0
942,1.0,1.0,,,715.0,715.0
942,1.0,1.0,,,782.0,782.0
942,2.0,2.0,2821.0,2831.0,1090.0,1090.0
942,2.0,2.0,2821.0,2821.0,1090.0,1090.0
942,2.0,2.0,2831.0,2831.0,1090.0,1090.0
942,2.0,2.0,3075.0,3075.0,1237.0,1237.0
942,2.0,2.0,3075.0,3075.0,1237.0,1237.0
942,2.0,2.0,2748.0,2748.0,1090.0,1090.0
942,2.0,2.0,2748.0,2748.0,1090.0,1090.0
942,2.0,2.0,,,1163.0,1163.0
942,2.0,2.0,,,1163.0,1163.0
942,2.0,2.0,,,1163.0,1163.0
942,2.0,2.0,,,1163.0,1163.0
942,2.0,2.0,,,1237.0,1237.0
942,2.0,2.0,,,1237.0,1237.0
942,2.0,2.0,,,1237.0,1237.0
942,2.0,2.0,,,1237.0,1237.0
942,2.0,2.0,,,1237.0,1237.0
942,2.0,2.0,,,1237.0,1237.0
942,2.0,2.0,,,1237.0,1237.0
942,2.0,2.0,,,1090.0,1090.0
942,2.0,2.0,,,1090.0,1090.0
942,2.0,2.0,,,1109.0,1109.0
942,2.0,2.0,,,1006.0,1006.0
942,2.0,2.0,,,1015.0,1015.0
942,2.0,2.0,,,1018.0,1018.0
943,0.0,1.0,1763.0,1793.0,547.0,547.0
943,0.0,1.0,1763.0,1763.0,547.0,547.0
943,0.0,1.0,1804.0,1819.0,637.0,637.0
943,0.0,1.0,1804.0,1804.0,637.0,637.0
943,0.0,1.0,1793.0,1793.0,547.0,547.0
943,0.0,1.0,1819.0,1819.0,637.0,637.0
943,1.0,1.0,2019.0,2251.0,689.0,689.0
943,1.0,1.0,2251.0,2251.0,689.0,689.0
943,1.0,1.0,2020.0,2020.0,685.0,685.0
943,1.0,1.0,2020.0,2020.0,685.0,685.0
943,1.0,1.0,2188.0,2188.0,794.0,794.0
943,1.0,1.0,2188.0,2188.0,794.0,794.0
943,1.0,1.0,2039.0,2039.0,689.0,689.0
943,1.0,1.0,1992.0,2028.0,706.0,706.0
943,1.0,1.0,2028.0,2028.0,706.0,706.0
943,1.0,1.0,1992.0,1992.0,706.0,706.0
943,1.0,1.0,2019.0,2019.0,689.0,689.0
943,1.0,1.0,,,857.0,857.0
943,2.0,2.0,3131.0,3131.0,1188.0,1188.0
943,2.0,2.0,3131.0,3131.0,1188.0,1188.0
943,2.0,2.0,,,1057.0,1057.0
943,2.0,2.0,,,1091.0,1091.0
943,2.0,2.0,,,1244.0,1244.0
943,3.0,2.0,3887.0,3887.0,1456.0,1456.0
943,3.0,2.0,3887.0,3887.0,1456.0,1456.0
943,3.0,2.0,,,1360.0,1360.0
944,1.0,1.0,2030.0,2030.0,784.0,784.0
944,1.0,1.0,2030.0,2030.0,784.0,784.0
944,1.0,1.0,1933.0,1933.0,746.0,746.0
944,1.0,1.0,1933.0,1933.0,746.0,746.0
944,1.0,1.0,,,738.0,738.0
944,1.0,1.0,,,743.0,743.0
944,1.0,1.0,,,948.0,948.0
944,1.0,1.0,,,629.0,629.0
944,1.0,1.0,,,694.0,694.0
944,1.0,1.0,,,713.0,713.0
944,1.0,1.0,,,730.0,730.0
944,1.0,1.0,,,734.0,734.0
944,1.0,1.0,,,784.0,784.0
944,1.0,1.0,,,784.0,784.0
944,2.0,1.0,,,1140.0,1140.0
944,2.0,2.0,2597.0,2597.0,1270.0,1270.0
944,2.0,2.0,2597.0,2597.0,1270.0,1270.0
944,2.0,2.0,2643.0,2832.0,1226.0,1226.0
944,2.0,2.0,2643.0,2643.0,1226.0,1226.0
944,2.0,2.0,2414.0,2414.0,1029.0,1029.0
944,2.0,2.0,2414.0,2414.0,1029.0,1029.0
944,2.0,2.0,2832.0,2832.0,1226.0,1226.0
944,2.0,2.0,,,1214.0,1214.0
944,2.0,2.0,,,1279.0,1279.0
944,2.0,2.0,,,1280.0,1280.0
944,2.0,2.0,,,1398.0,1398.0
944,2.0,2.0,,,873.0,873.0
944,2.0,2.0,,,1034.0,1034.0
944,2.0,2.0,,,1036.0,1036.0
944,2.0,2.0,,,1042.0,1042.0
944,2.0,2.0,,,1052.0,1052.0
944,2.0,2.0,,,1069.0,1069.0
944,2.0,2.0,,,1071.0,1071.0
944,2.0,2.0,,,1130.0,1130.0
944,2.0,2.0,,,1132.0,1132.0
944,2.0,2.0,,,1149.0,1149.0
944,2.0,2.0,,,1188.0,1188.0
944,2.0,2.0,,,1260.0,1260.0
944,2.0,2.0,,,1279.0,1279.0
944,3.0,2.0,,,1322.0,1322.0
944,3.0,2.0,,,1221.0,1221.0
944,3.0,2.0,,,1440.0,1440.0
945,1.0,1.0,1921.0,1941.0,815.0,815.0
945,1.0,1.0,1921.0,1921.0,815.0,815.0
945,1.0,1.0,1941.0,1941.0,815.0,815.0
945,1.0,1.0,1950.0,1950.0,830.0,830.0
945,1.0,1.0,1950.0,1950.0,830.0,830.0
945,1.0,1.0,1978.0,2115.0,805.0,805.0
945,1.0,1.0,1978.0,1978.0,805.0,805.0
945,1.0,1.0,2115.0,2115.0,805.0,805.0
945,1.0,1.0,2023.0,2023.0,830.0,830.0
945,1.0,1.0,2023.0,2023.0,830.0,830.0
945,1.0,1.0,1823.0,1823.0,705.0,705.0
945,1.0,1.0,1823.0,1823.0,705.0,705.0
945,1.0,1.0,1842.0,1842.0,705.0,705.0
945,1.0,1.0,1842.0,1842.0,705.0,705.0
945,1.0,1.0,1827.0,1827.0,665.0,665.0
945,1.0,1.0,1827.0,1827.0,665.0,665.0
945,1.0,1.0,,,665.0,665.0
945,1.0,1.0,,,665.0,665.0
945,1.0,1.0,,,675.0,675.0
945,1.0,1.0,,,705.0,705.0
945,1.0,1.0,,,785.0,785.0
945,1.0,1.0,,,800.0,800.0
945,1.0,1.0,,,825.0,825.0
945,1.0,1.0,,,845.0,845.0
945,1.0,1.0,,,915.0,915.0
945,1.0,1.0,,,805.0,805.0
945,2.0,1.0,2287.0,2287.0,915.0,915.0
945,2.0,1.0,2287.0,2287.0,915.0,915.0
945,2.0,1.0,2382.0,2382.0,940.0,940.0
945,2.0,1.0,2382.0,2382.0,940.0,940.0
945,2.0,2.0,2561.0,2561.0,955.0,955.0
945,2.0,2.0,2561.0,2561.0,955.0,955.0
945,2.0,2.0,2807.0,2807.0,1225.0,1225.0
945,2.0,2.0,2807.0,2807.0,1225.0,1225.0
945,2.0,2.0,2420.0,2420.0,1000.0,1000.0
945,2.0,2.0,2420.0,2420.0,1000.0,1000.0
945,2.0,2.0,,,970.0,970.0
945,2.0,2.0,,,1000.0,1000.0
945,2.0,2.0,,,1015.0,1015.0
945,2.0,2.0,,,1195.0,1195.0
945,2.0,2.0,,,985.0,985.0
945,2.0,2.0,,,1000.0,1000.0
945,2.0,2.0,,,1000.0,1000.0
945,2.0,2.0,,,1155.0,1155.0
945,2.0,2.0,,,1195.0,1195.0
945,2.0,2.0,,,1195.0,1195.0
945,2.0,2.0,,,1195.0,1195.0
945,2.0,2.0,,,1205.0,1205.0
945,2.0,2.0,,,1215.0,1215.0
945,2.0,2.0,,,1230.0,1230.0
945,3.0,2.0,,,1430.0,1430.0
945,3.0,2.0,,,1480.0,1480.0
946,1.0,1.0,1889.0,1930.0,785.0,785.0
946,1.0,1.0,1930.0,1930.0,785.0,785.0
946,1.0,1.0,2204.0,2204.0,950.0,950.0
946,1.0,1.0,2204.0,2204.0,950.0,950.0
946,1.0,1.0,1889.0,1889.0,785.0,785.0
946,1.0,1.0,2384.0,2384.0,974.0,974.0
946,1.0,1.0,2384.0,2384.0,974.0,974.0
946,1.0,1.0,,,615.0,615.0
946,1.0,1.0,,,766.0,766.0
946,1.0,1.0,,,767.0,767.0
946,1.0,1.0,,,773.0,773.0
946,1.0,1.0,,,783.0,783.0
946,1.0,1.0,,,835.0,835.0
946,1.0,1.0,,,835.0,835.0
946,1.0,1.0,,,1148.0,1148.0
946,1.0,1.0,,,666.0,666.0
946,2.0,2.0,2594.0,2594.0,1188.0,1188.0
946,2.0,2.0,2594.0,2594.0,1188.0,1188.0
946,2.0,2.0,2629.0,2639.0,1067.0,1067.0
946,2.0,2.0,2629.0,2629.0,1067.0,1067.0
946,2.0,2.0,2639.0,2639.0,1067.0,1067.0
946,2.0,2.0,2669.0,2669.0,1256.0,1256.0
946,2.0,2.0,2669.0,2669.0,1256.0,1256.0
946,2.0,2.0,2495.0,2495.0,1084.0,1084.0
946,2.0,2.0,2495.0,2495.0,1084.0,1084.0
946,2.0,2.0,2752.0,2752.0,1191.0,1191.0
946,2.0,2.0,2752.0,2752.0,1191.0,1191.0
946,2.0,2.0,2587.0,2587.0,1118.0,1118.0
946,2.0,2.0,2587.0,2587.0,1118.0,1118.0
946,2.0,2.0,,,1162.0,1162.0
946,2.0,2.0,,,1237.0,1237.0
946,2.0,2.0,,,1016.0,1016.0
946,2.0,2.0,,,1095.0,1095.0
946,2.0,2.0,,,1150.0,1150.0
946,2.0,2.0,,,1158.0,1158.0
946,2.0,2.0,,,1176.0,1176.0
946,2.0,2.0,,,1230.0,1230.0
946,2.0,2.0,,,1178.0,1178.0
946,2.0,2.0,,,1150.0,1150.0
946,3.0,3.0,,,1295.0,1295.0
946,3.0,3.0,,,1377.0,1377.0
946,3.0,3.0,,,1601.0,1601.0
946,3.0,3.0,,,1641.0,1641.0
946,3.0,3.0,,,1849.0,1849.0
946,3.0,3.0,,,1635.0,1635.0
946,3.0,3.0,,,1857.0,1857.0
946,3.0,3.0,,,2300.0,2300.0
946,3.0,3.0,,,2542.0,2542.0
946,3.0,3.0,,,1881.0,1881.0
946,3.0,3.0,,,1920.0,1920.0
946,4.0,3.0,6166.0,6166.0,2832.0,2832.0
946,4.0,3.0,6166.0,6166.0,2832.0,2832.0
946,4.0,3.0,,,2832.0,2832.0
947,0.0,1.0,1404.0,1425.0,532.0,532.0
947,0.0,1.0,1404.0,1404.0,532.0,532.0
947,0.0,1.0,1425.0,1425.0,532.0,532.0
947,0.0,1.0,1420.0,1420.0,532.0,532.0
947,0.0,1.0,1420.0,1420.0,532.0,532.0
947,0.0,1.0,1419.0,1419.0,532.0,532.0
947,0.0,1.0,1270.0,1291.0,362.0,362.0
947,0.0,1.0,1270.0,1270.0,362.0,362.0
947,0.0,1.0,1291.0,1291.0,362.0,362.0
947,0.0,1.0,1270.0,1270.0,362.0,362.0
947,0.0,1.0,,,400.0,400.0
947,0.0,1.0,,,530.0,530.0
947,0.0,1.0,,,532.0,532.0
947,0.0,1.0,,,532.0,532.0
947,0.0,1.0,,,362.0,362.0
947,1.0,1.0,1471.0,1537.0,690.0,690.0
947,1.0,1.0,1471.0,1471.0,690.0,690.0
947,1.0,1.0,1481.0,1531.0,740.0,740.0
947,1.0,1.0,1481.0,1481.0,740.0,740.0
947,1.0,1.0,1481.0,1481.0,740.0,740.0
947,1.0,1.0,1497.0,1497.0,740.0,740.0
947,1.0,1.0,1481.0,1552.0,700.0,700.0
947,1.0,1.0,1481.0,1481.0,700.0,700.0
947,1.0,1.0,1492.0,1551.0,700.0,700.0
947,1.0,1.0,1492.0,1492.0,700.0,700.0
947,1.0,1.0,1457.0,1512.0,690.0,690.0
947,1.0,1.0,1457.0,1457.0,690.0,690.0
947,1.0,1.0,1457.0,1533.0,690.0,690.0
947,1.0,1.0,1457.0,1457.0,690.0,690.0
947,1.0,1.0,1502.0,1502.0,740.0,740.0
947,1.0,1.0,1502.0,1502.0,700.0,700.0
947,1.0,1.0,1533.0,1533.0,690.0,690.0
947,1.0,1.0,1445.0,1445.0,690.0,690.0
947,1.0,1.0,1445.0,1445.0,690.0,690.0
947,1.0,1.0,1490.0,1490.0,772.0,772.0
947,1.0,1.0,1490.0,1490.0,772.0,772.0
947,1.0,1.0,1537.0,1537.0,690.0,690.0
947,1.0,1.0,1512.0,1512.0,690.0,690.0
947,1.0,1.0,1531.0,1531.0,700.0,700.0
947,1.0,1.0,1512.0,1512.0,690.0,690.0
947,1.0,1.0,1464.0,1464.0,650.0,650.0
947,1.0,1.0,1464.0,1464.0,650.0,650.0
947,1.0,1.0,1531.0,1531.0,740.0,740.0
947,1.0,1.0,1552.0,1552.0,700.0,700.0
947,1.0,1.0,1584.0,1584.0,812.0,812.0
947,1.0,1.0,1584.0,1584.0,812.0,812.0
947,1.0,1.0,1547.0,1547.0,700.0,700.0
947,1.0,1.0,1526.0,1526.0,700.0,700.0
947,1.0,1.0,1542.0,1552.0,700.0,700.0
947,1.0,1.0,1542.0,1542.0,700.0,700.0
947,1.0,1.0,1542.0,1542.0,700.0,700.0
947,1.0,1.0,1552.0,1552.0,700.0,700.0
947,1.0,1.0,1551.0,1551.0,700.0,700.0
947,1.0,1.0,,,690.0,690.0
947,1.0,1.0,,,690.0,690.0
947,1.0,1.0,,,700.0,700.0
947,1.0,1.0,,,650.0,650.0
947,1.0,1.0,,,767.0,767.0
947,1.0,1.0,,,767.0,767.0
947,1.0,1.0,,,530.0,530.0
947,1.0,1.0,,,630.0,630.0
947,1.0,1.0,,,693.0,693.0
947,1.0,1.0,,,712.0,712.0
947,2.0,1.0,2065.0,2117.0,867.0,867.0
947,2.0,1.0,2086.0,2086.0,867.0,867.0
947,2.0,1.0,2117.0,2117.0,867.0,867.0
947,2.0,1.0,2081.0,2081.0,867.0,867.0
947,2.0,1.0,2065.0,2065.0,867.0,867.0
947,2.0,1.0,2081.0,2081.0,867.0,867.0
947,2.0,1.0,2076.0,2076.0,867.0,867.0
947,2.0,1.0,2081.0,2081.0,867.0,867.0
947,2.0,1.0,2081.0,2081.0,867.0,867.0
947,2.0,1.0,,,1037.0,1037.0
948,1.0,1.0,1450.0,1575.0,450.0,450.0
949,1.0,1.0,1385.0,1490.0,720.0,720.0
949,1.0,1.0,1465.0,1495.0,770.0,770.0
949,2.0,1.0,1695.0,1695.0,950.0,950.0
949,2.0,1.5,1675.0,1725.0,950.0,950.0
949,3.0,2.0,2210.0,2260.0,1200.0,1200.0
950,0.0,1.0,1250.0,1275.0,389.0,389.0
950,0.0,1.0,1375.0,1375.0,600.0,600.0
950,1.0,1.0,1495.0,1525.0,645.0,645.0
950,1.0,1.0,1495.0,1525.0,620.0,620.0
950,1.0,1.0,1595.0,1595.0,768.0,768.0
950,2.0,1.0,1775.0,1795.0,941.0,941.0
950,2.0,1.0,1875.0,1875.0,1056.0,1056.0
950,3.0,2.0,2550.0,2550.0,1340.0,1340.0
950,3.0,2.0,2250.0,2350.0,1160.0,1160.0
951,0.0,1.0,1400.0,1400.0,516.0,516.0
951,1.0,1.0,1535.0,1535.0,876.0,876.0
951,1.0,1.0,1600.0,1600.0,816.0,816.0
951,2.0,1.0,1850.0,1850.0,1176.0,1176.0
951,2.0,2.0,1875.0,1875.0,1116.0,1116.0
951,3.0,2.0,2400.0,2400.0,1440.0,1440.0
952,0.0,1.0,1999.0,1999.0,534.0,534.0
952,0.0,1.0,2150.0,2150.0,629.0,629.0
952,0.0,1.0,,,663.0,663.0
952,0.0,1.0,2115.0,2115.0,608.0,608.0
952,0.0,1.0,,,695.0,695.0
952,1.0,1.0,2293.0,2293.0,765.0,765.0
952,1.0,1.0,2297.0,3072.0,631.0,631.0
952,1.0,1.0,2438.0,2438.0,694.0,694.0
952,1.0,1.0,,,986.0,986.0
952,1.0,1.0,,,781.0,781.0
952,1.0,1.0,,,781.0,781.0
952,1.0,1.0,,,724.0,724.0
952,1.0,1.0,,,722.0,722.0
952,1.0,1.0,,,692.0,692.0
952,1.0,1.0,,,673.0,673.0
952,1.0,1.0,,,618.0,618.0
952,1.0,1.0,,,604.0,604.0
952,1.0,1.0,,,553.0,553.0
952,1.0,1.0,,,944.0,944.0
952,1.0,1.0,,,824.0,824.0
952,1.0,1.0,,,819.0,819.0
952,1.0,1.0,,,790.0,790.0
952,1.0,1.0,,,766.0,766.0
952,1.0,1.0,,,735.0,735.0
952,1.0,1.0,,,733.0,733.0
952,1.0,1.0,,,678.0,678.0
952,1.0,1.0,,,622.0,622.0
952,1.0,1.0,,,621.0,621.0
952,2.0,2.0,3083.0,3083.0,1054.0,1054.0
952,2.0,2.0,3087.0,3087.0,948.0,948.0
952,2.0,2.0,3119.0,3119.0,1043.0,1043.0
952,2.0,2.0,3206.0,3206.0,1045.0,1045.0
952,2.0,2.0,3354.0,3354.0,1179.0,1179.0
952,2.0,2.0,,,1265.0,1265.0
952,2.0,2.0,,,1263.0,1263.0
952,2.0,2.0,,,1118.0,1118.0
952,2.0,2.0,,,1051.0,1051.0
952,2.0,2.0,,,976.0,976.0
952,2.0,2.0,,,988.0,988.0
952,2.0,2.0,,,969.0,969.0
952,2.0,2.0,,,1227.0,1227.0
952,2.0,2.0,,,1220.0,1220.0
952,2.0,2.0,,,1161.0,1161.0
952,2.0,2.0,,,1154.0,1154.0
952,2.0,2.0,,,1157.0,1157.0
952,2.0,2.0,,,1089.0,1089.0
952,2.0,2.0,,,1055.0,1055.0
952,2.0,2.0,,,1049.0,1049.0
952,2.0,2.0,,,1014.0,1014.0
952,2.0,2.0,,,954.0,954.0
952,2.0,2.0,,,1016.0,1016.0
952,3.0,2.0,,,1367.0,1367.0
952,3.0,2.0,4783.0,4783.0,1326.0,1326.0
952,3.0,3.0,,,1580.0,1580.0
952,3.0,3.0,,,1581.0,1581.0
953,0.0,1.0,1065.0,1065.0,400.0,400.0
953,1.0,1.0,1215.0,1215.0,600.0,600.0
953,2.0,1.0,1575.0,1595.0,900.0,900.0
953,3.0,1.0,1860.0,1860.0,1200.0,1200.0
954,0.0,1.0,1427.0,1427.0,431.0,431.0
954,1.0,1.0,1967.0,1967.0,723.0,723.0
954,2.0,1.0,2202.0,2208.0,932.0,932.0
954,2.0,1.0,2239.0,2239.0,1052.0,1052.0
955,0.0,1.0,1703.0,2496.0,532.0,532.0
955,0.0,1.0,1703.0,1703.0,532.0,532.0
955,0.0,1.0,1743.0,1743.0,532.0,532.0
955,0.0,1.0,1733.0,1733.0,532.0,532.0
955,0.0,1.0,1641.0,2586.0,565.0,565.0
955,0.0,1.0,1641.0,1641.0,565.0,565.0
955,1.0,1.0,2068.0,3486.0,739.0,739.0
955,1.0,1.0,2604.0,2604.0,739.0,739.0
955,1.0,1.0,2116.0,3546.0,1005.0,1005.0
955,1.0,1.0,2116.0,2116.0,1005.0,1005.0
955,1.0,1.0,2548.0,2548.0,1005.0,1005.0
955,1.0,1.0,2291.0,3499.0,816.0,816.0
955,1.0,1.0,2335.0,2335.0,816.0,816.0
955,1.0,1.0,2452.0,2452.0,816.0,816.0
955,1.0,1.0,1975.0,2823.0,667.0,667.0
955,1.0,1.0,1991.0,1991.0,667.0,667.0
955,1.0,1.0,2258.0,2258.0,1005.0,1005.0
955,1.0,1.0,2262.0,2262.0,739.0,739.0
955,1.0,1.0,2076.0,2076.0,739.0,739.0
955,1.0,1.0,1975.0,1975.0,667.0,667.0
955,1.0,1.0,2154.0,2154.0,739.0,739.0
955,1.0,1.0,2260.0,2260.0,739.0,739.0
955,1.0,1.0,2144.0,2144.0,739.0,739.0
955,1.0,1.0,2291.0,2291.0,816.0,816.0
955,1.0,1.0,2074.0,2074.0,739.0,739.0
955,1.0,1.0,2068.0,2068.0,739.0,739.0
955,1.0,1.0,2065.0,2845.0,739.0,739.0
955,2.0,2.0,2386.0,3880.0,982.0,982.0
955,2.0,2.0,2386.0,2386.0,982.0,982.0
955,2.0,2.0,2392.0,2392.0,982.0,982.0
955,2.0,2.0,2551.0,2551.0,982.0,982.0
955,2.0,2.0,2712.0,2712.0,982.0,982.0
955,2.0,2.0,2410.0,3690.0,1105.0,1105.0
955,2.0,2.0,2410.0,2410.0,1105.0,1105.0
955,2.0,2.0,2542.0,2542.0,1105.0,1105.0
955,2.0,2.0,2611.0,2611.0,1105.0,1105.0
955,2.0,2.0,2709.0,3806.0,1332.0,1332.0
955,2.0,2.0,2709.0,2709.0,1332.0,1332.0
955,2.0,2.0,2571.0,2571.0,1105.0,1105.0
955,2.0,2.0,2626.0,2626.0,1105.0,1105.0
955,2.0,2.0,3008.0,4274.0,1115.0,1115.0
955,2.0,2.0,3008.0,3008.0,1115.0,1115.0
955,2.0,2.0,3244.0,3244.0,1115.0,1115.0
955,2.0,2.0,2601.0,2601.0,1105.0,1105.0
955,2.0,2.0,2601.0,2601.0,1105.0,1105.0
955,2.0,2.0,2571.0,2571.0,1105.0,1105.0
955,2.0,2.0,2824.0,2824.0,982.0,982.0
955,2.0,2.0,2601.0,2601.0,1105.0,1105.0
